student_id,attempt_id,topic,question_difficulty,prior_attempts_count,historical_accuracy,consecutive_errors,days_since_last_review,response_time_sec,handwritten_score,is_correct,needs_remediation
STU_0001,ATT_0001_001,Matrix Calculus & Linear Algebra,3.0,0,0.5,0,1,109.65,0.9616,1,0
STU_0001,ATT_0001_002,Activation Functions,2.0,0,0.5,0,2,55.97,0.5202,0,1
STU_0001,ATT_0001_003,Convolutional Neural Networks,3.0,0,0.5,0,4,118.85,0.8895,1,0
STU_0001,ATT_0001_004,Dynamic Programming,1.0,0,0.5,0,5,86.16,0.9579,1,0
STU_0001,ATT_0001_005,Trees & Graph Traversal,1.0,0,0.5,0,5,66.77,0.4734,0,1
STU_0001,ATT_0001_006,Regularization & Dropout,2.0,0,0.5,0,6,70.23,0.6622,1,0
STU_0001,ATT_0001_007,Trees & Graph Traversal,3.0,1,0.0,1,2,102.05,0.3895,0,1
STU_0001,ATT_0001_008,Dynamic Programming,2.0,1,1.0,0,3,113.1,0.9124,1,0
STU_0001,ATT_0001_009,Dynamic Programming,5.0,2,1.0,0,0,118.94,0.4373,0,0
STU_0001,ATT_0001_010,Activation Functions,4.0,1,0.0,1,8,143.0,0.7961,1,0
STU_0001,ATT_0001_011,Dynamic Programming,3.0,3,0.6667,1,4,100.2,0.8622,1,0
STU_0001,ATT_0001_012,Activation Functions,3.0,2,0.5,0,2,83.95,0.6756,1,0
STU_0001,ATT_0001_013,Activation Functions,4.0,3,0.6667,0,2,117.37,0.8764,1,0
STU_0001,ATT_0001_014,Matrix Calculus & Linear Algebra,1.0,1,1.0,0,13,113.62,0.8887,1,1
STU_0001,ATT_0001_015,Loss Functions & Optimization,5.0,0,0.5,0,14,177.89,0.5717,0,1
STU_0001,ATT_0001_016,Asymptotic Complexity (Big-O),2.0,0,0.5,0,14,100.62,0.9715,1,1
STU_0001,ATT_0001_017,Matrix Calculus & Linear Algebra,1.0,2,1.0,0,1,78.13,0.8542,1,0
STU_0001,ATT_0001_018,Dynamic Programming,4.0,4,0.75,0,5,129.21,0.3508,0,0
STU_0001,ATT_0001_019,Convolutional Neural Networks,3.0,1,1.0,0,13,130.09,0.8134,1,1
STU_0001,ATT_0001_020,Loss Functions & Optimization,2.0,1,0.0,1,3,89.9,0.0622,0,1
STU_0001,ATT_0001_021,Trees & Graph Traversal,1.0,2,0.0,2,10,87.26,0.8141,1,1
STU_0001,ATT_0001_022,Neural Network Architecture,3.0,0,0.5,0,17,139.8,0.0,0,1
STU_0001,ATT_0001_023,Asymptotic Complexity (Big-O),3.0,1,1.0,0,4,128.61,0.4687,0,1
STU_0001,ATT_0001_024,Loss Functions & Optimization,5.0,2,0.0,2,1,134.53,0.4269,0,1
STU_0001,ATT_0001_025,Regularization & Dropout,3.0,1,1.0,0,12,126.87,0.1855,0,1
STU_0001,ATT_0001_026,Activation Functions,4.0,4,0.75,0,5,100.03,0.9228,1,0
STU_0001,ATT_0001_027,Dynamic Programming,1.0,5,0.6,1,2,25.85,0.8443,1,0
STU_0001,ATT_0001_028,Dynamic Programming,3.0,6,0.6667,0,1,95.8,0.98,1,0
STU_0001,ATT_0001_029,Dynamic Programming,2.0,7,0.7143,0,2,75.48,0.8909,1,0
STU_0001,ATT_0001_030,Trees & Graph Traversal,4.0,3,0.3333,0,6,144.0,0.4781,0,1
STU_0002,ATT_0002_001,Neural Network Architecture,3.0,0,0.5,0,1,135.32,0.8947,1,0
STU_0002,ATT_0002_002,Regularization & Dropout,5.0,0,0.5,0,2,142.77,0.3455,0,0
STU_0002,ATT_0002_003,Neural Network Architecture,3.0,1,1.0,0,1,76.7,0.3448,0,1
STU_0002,ATT_0002_004,Loss Functions & Optimization,1.0,0,0.5,0,4,55.72,0.4224,0,1
STU_0002,ATT_0002_005,Convolutional Neural Networks,4.0,0,0.5,0,4,124.42,0.0584,0,0
STU_0002,ATT_0002_006,Loss Functions & Optimization,2.0,1,0.0,1,0,94.27,0.8458,1,0
STU_0002,ATT_0002_007,Dynamic Programming,2.0,0,0.5,0,5,62.29,1.0,1,0
STU_0002,ATT_0002_008,Backpropagation & Gradients,2.0,0,0.5,0,6,103.21,1.0,1,0
STU_0002,ATT_0002_009,Activation Functions,2.0,0,0.5,0,7,101.5,0.8995,1,1
STU_0002,ATT_0002_010,Loss Functions & Optimization,3.0,2,0.5,0,3,114.94,0.4477,0,1
STU_0002,ATT_0002_011,Backpropagation & Gradients,1.0,1,1.0,0,3,62.83,0.8882,1,0
STU_0002,ATT_0002_012,Regularization & Dropout,3.0,1,0.0,1,9,108.14,0.9889,1,0
STU_0002,ATT_0002_013,Trees & Graph Traversal,4.0,0,0.5,0,11,155.39,0.7529,1,1
STU_0002,ATT_0002_014,Loss Functions & Optimization,3.0,3,0.3333,1,4,91.04,0.9222,1,0
STU_0002,ATT_0002_015,Matrix Calculus & Linear Algebra,2.0,0,0.5,0,12,85.97,0.9652,1,0
STU_0002,ATT_0002_016,Matrix Calculus & Linear Algebra,1.0,1,1.0,0,2,43.22,1.0,1,0
STU_0002,ATT_0002_017,Backpropagation & Gradients,2.0,2,1.0,0,5,92.57,0.9378,1,0
STU_0002,ATT_0002_018,Convolutional Neural Networks,3.0,1,0.0,1,12,96.14,0.8316,1,0
STU_0002,ATT_0002_019,Regularization & Dropout,1.0,2,0.5,0,5,64.48,1.0,1,0
STU_0002,ATT_0002_020,Asymptotic Complexity (Big-O),2.0,0,0.5,0,16,140.13,0.8302,1,1
STU_0002,ATT_0002_021,Convolutional Neural Networks,4.0,2,0.5,0,1,97.94,0.9556,1,0
STU_0002,ATT_0002_022,Loss Functions & Optimization,3.0,4,0.5,0,6,110.67,0.4889,0,1
STU_0002,ATT_0002_023,Activation Functions,3.0,1,1.0,0,11,169.81,0.0572,0,1
STU_0002,ATT_0002_024,Neural Network Architecture,5.0,2,0.5,1,18,171.38,0.3811,0,1
STU_0002,ATT_0002_025,Matrix Calculus & Linear Algebra,1.0,2,1.0,0,7,57.72,0.965,1,0
STU_0002,ATT_0002_026,Backpropagation & Gradients,3.0,3,1.0,0,7,115.83,0.4372,0,1
STU_0002,ATT_0002_027,Loss Functions & Optimization,2.0,5,0.4,1,4,93.26,0.4416,0,1
STU_0002,ATT_0002_028,Neural Network Architecture,4.0,3,0.3333,2,2,123.11,0.3197,0,1
STU_0002,ATT_0002_029,Asymptotic Complexity (Big-O),4.0,1,1.0,0,6,118.45,0.3892,0,0
STU_0002,ATT_0002_030,Loss Functions & Optimization,4.0,6,0.3333,2,2,115.88,0.849,1,1
STU_0003,ATT_0003_001,Convolutional Neural Networks,3.0,0,0.5,0,1,96.2,0.671,1,0
STU_0003,ATT_0003_002,Backpropagation & Gradients,5.0,0,0.5,0,3,182.71,0.3635,0,0
STU_0003,ATT_0003_003,Asymptotic Complexity (Big-O),3.0,0,0.5,0,4,135.04,0.9686,1,1
STU_0003,ATT_0003_004,Convolutional Neural Networks,3.0,1,1.0,0,4,90.8,0.9861,1,0
STU_0003,ATT_0003_005,Loss Functions & Optimization,2.0,0,0.5,0,6,114.0,0.0885,0,1
STU_0003,ATT_0003_006,Activation Functions,4.0,0,0.5,0,8,159.0,0.4786,0,1
STU_0003,ATT_0003_007,Activation Functions,2.0,1,0.0,1,2,87.19,1.0,1,0
STU_0003,ATT_0003_008,Dynamic Programming,4.0,0,0.5,0,10,152.54,0.269,0,1
STU_0003,ATT_0003_009,Dynamic Programming,4.0,1,0.0,1,0,94.35,0.887,1,0
STU_0003,ATT_0003_010,Convolutional Neural Networks,2.0,2,1.0,0,7,99.08,0.8098,1,0
STU_0003,ATT_0003_011,Convolutional Neural Networks,3.0,3,1.0,0,0,59.29,0.9167,1,0
STU_0003,ATT_0003_012,Trees & Graph Traversal,2.0,0,0.5,0,13,109.23,0.7813,1,1
STU_0003,ATT_0003_013,Trees & Graph Traversal,2.0,1,1.0,0,1,72.09,0.6887,1,0
STU_0003,ATT_0003_014,Activation Functions,4.0,2,0.5,0,4,133.48,0.4613,0,0
STU_0003,ATT_0003_015,Matrix Calculus & Linear Algebra,5.0,0,0.5,0,15,200.83,0.5269,0,1
STU_0003,ATT_0003_016,Neural Network Architecture,2.0,0,0.5,0,17,110.48,0.523,0,1
STU_0003,ATT_0003_017,Neural Network Architecture,3.0,1,0.0,1,0,105.95,0.8691,1,0
STU_0003,ATT_0003_018,Neural Network Architecture,3.0,2,0.5,0,1,109.77,0.375,0,1
STU_0003,ATT_0003_019,Convolutional Neural Networks,4.0,4,1.0,0,6,124.88,0.806,1,0
STU_0003,ATT_0003_020,Activation Functions,2.0,3,0.3333,1,4,80.8,0.9136,1,0
STU_0003,ATT_0003_021,Trees & Graph Traversal,1.0,2,1.0,0,5,77.17,1.0,1,0
STU_0003,ATT_0003_022,Neural Network Architecture,3.0,3,0.3333,1,2,110.52,0.3127,0,1
STU_0003,ATT_0003_023,Asymptotic Complexity (Big-O),4.0,1,1.0,0,18,185.53,0.2053,0,1
STU_0003,ATT_0003_024,Backpropagation & Gradients,2.0,1,0.0,1,20,128.89,0.1725,0,1
STU_0003,ATT_0003_025,Backpropagation & Gradients,2.0,2,0.0,2,2,63.06,0.8313,1,1
STU_0003,ATT_0003_026,Matrix Calculus & Linear Algebra,4.0,1,0.0,1,12,170.21,0.0945,0,1
STU_0003,ATT_0003_027,Backpropagation & Gradients,3.0,3,0.3333,0,2,108.28,0.9176,1,0
STU_0003,ATT_0003_028,Activation Functions,3.0,4,0.5,0,11,101.75,0.0854,0,1
STU_0003,ATT_0003_029,Activation Functions,4.0,5,0.4,1,0,129.69,0.8876,1,0
STU_0003,ATT_0003_030,Activation Functions,4.0,6,0.5,0,2,116.47,0.8564,1,0
STU_0004,ATT_0004_001,Neural Network Architecture,1.0,0,0.5,0,1,83.93,0.8836,1,1
STU_0004,ATT_0004_002,Matrix Calculus & Linear Algebra,4.0,0,0.5,0,2,172.81,0.9052,1,1
STU_0004,ATT_0004_003,Trees & Graph Traversal,1.0,0,0.5,0,4,95.62,0.9271,1,1
STU_0004,ATT_0004_004,Backpropagation & Gradients,3.0,0,0.5,0,4,113.63,0.9003,1,1
STU_0004,ATT_0004_005,Matrix Calculus & Linear Algebra,3.0,1,1.0,0,2,98.57,0.9007,1,1
STU_0004,ATT_0004_006,Loss Functions & Optimization,2.0,0,0.5,0,4,111.8,0.65,0,1
STU_0004,ATT_0004_007,Backpropagation & Gradients,3.0,1,1.0,0,1,152.57,0.6479,0,1
STU_0004,ATT_0004_008,Regularization & Dropout,4.0,0,0.5,0,5,127.71,0.4393,0,1
STU_0004,ATT_0004_009,Convolutional Neural Networks,5.0,0,0.5,0,6,143.62,0.0083,0,0
STU_0004,ATT_0004_010,Trees & Graph Traversal,4.0,1,1.0,0,3,139.41,0.2254,0,0
STU_0004,ATT_0004_011,Regularization & Dropout,2.0,1,0.0,1,4,95.34,0.9555,1,1
STU_0004,ATT_0004_012,Dynamic Programming,4.0,0,0.5,0,11,134.47,0.65,0,1
STU_0004,ATT_0004_013,Regularization & Dropout,5.0,2,0.5,0,2,143.19,0.4458,0,0
STU_0004,ATT_0004_014,Neural Network Architecture,3.0,1,1.0,0,12,146.46,0.7138,1,1
STU_0004,ATT_0004_015,Activation Functions,1.0,0,0.5,0,13,82.51,0.8415,1,1
STU_0004,ATT_0004_016,Trees & Graph Traversal,4.0,2,0.5,1,7,159.23,0.1805,0,1
STU_0004,ATT_0004_017,Trees & Graph Traversal,3.0,3,0.3333,2,2,111.02,0.3739,0,1
STU_0004,ATT_0004_018,Convolutional Neural Networks,4.0,1,0.0,1,11,142.18,0.3266,0,0
STU_0004,ATT_0004_019,Trees & Graph Traversal,4.0,4,0.25,3,1,140.34,0.4457,0,1
STU_0004,ATT_0004_020,Convolutional Neural Networks,2.0,2,0.0,2,0,85.43,0.9043,1,1
STU_0004,ATT_0004_021,Dynamic Programming,3.0,1,0.0,1,7,157.97,0.2902,0,1
STU_0004,ATT_0004_022,Regularization & Dropout,3.0,3,0.3333,1,7,156.46,0.722,1,1
STU_0004,ATT_0004_023,Asymptotic Complexity (Big-O),3.0,0,0.5,0,20,115.09,0.5649,0,1
